title,link,date,sector,subsector,author,points
"Nearly 40% of Facebook's valuation is on the line from regulatory risk, HSBC says",https://www.cnbc.com/finance/?page=1,2019/12/05,Financials,finance/,Maggie Fitzgerald,"['HSBC Global Strategies initiated coverage of Facebook with a reduce rating, recommending investors sell the stock.', ""The firm said\xa0said regulatory overhang is\xa0equivalent to 38.5% of Facebook's current valuation."", 'Trust-busting, anti-competitive fines, privacy fines, taxation, merger control and telecoms-type regulation all pose potential implications to valuation the firm said.\xa0']"
Goldman Sachs has a simple 'laggard' stocks strategy for early 2020 that tends to beat the market,https://www.cnbc.com/finance/?page=1,2019/12/05,Financials,finance/,Yun Li,"['The strategy to pick up battered stocks in the beginning of a given year has a good track record of beating the market, according to Goldman. ', 'Among the bottom third of the S&P 500 in terms of 2019 performance, Goldman recommended buying the laggards that its analysts have out-of-consensus buy ratings and above-consensus estimates.', 'Westlake Chemical, L Brands, Terex, Yelp, Cree and Under Armour are some of the ""buy-rated laggards"" of 2019 where the majority of the Street has neutral or sell ratings but Goldman analysts recommend buying.']"
"Your first trade for Thursday, December 5",https://www.cnbc.com/finance/?page=1,2019/12/05,Financials,finance/,Tyler Bailey,
US trade deficit drops in October to lowest level in more than a year,https://www.cnbc.com/finance/?page=1,2019/12/05,Financials,finance/,Fred Imbert,"['The U.S. trade deficit tumbled 7.6% to $47.2 billion in October from a revised print of $51.1 billion for September.', 'Imports dropped by 1.7%, or $4.3 billion, to $254.3 billion.', 'Exports dipped 0.2%, or $400 million, to $207.1 billion.']"
Shares of biotech Aurinia surge 78% after positive data for Lupus drug,https://www.cnbc.com/finance/?page=1,2019/12/05,Financials,finance/,Yun Li,"['Aurinia said\xa0its phase three trial for drug voclosporin posted positive efficacy and safety results  in the treatment of lupus nephritis.', 'Some analysts expect the stock to quadruple on the better-than-expected trial results.']"
"Stocks making the biggest moves premarket: Nike, Dollar General, Apple, Chewy, Tiffany & more",https://www.cnbc.com/finance/?page=1,2019/12/05,Financials,finance/,Peter Schacknow,
This seasonal trend implies investors will be cheering December — despite the choppy start,https://www.cnbc.com/finance/?page=1,2019/12/05,Financials,finance/,Stephanie Landsman,
"Robinhood democratizes stocks for younger generations, co-founder says",https://www.cnbc.com/finance/?page=1,2019/12/04,Financials,finance/,Tyler Clifford,"['""I think it\'s just a testament to what we\'ve been able to do,"" Robinhood co-CEO Vladimir Tenev tells CNBC\'s Jim Cramer about the company reaching 10 million subscribers.', '""We\'re proud of the fact that we\'ve enabled so many younger investors and first-time investors to have access to the markets"" in the wake of the 2008 financial crisis, he says in a ""Mad Money"" interview.', '""We saw an opportunity to build a product that really spoke to [the millennial] generation, and commission is a part of it,"" co-CEO Baiju Bhatt says.']"
"Stocks making biggest moves after hours: Slack, Verint, Five Below & more",https://www.cnbc.com/finance/?page=1,2019/12/04,Financials,finance/,Al Lewis,
Here's what happened to the stock market on Wednesday,https://www.cnbc.com/finance/?page=1,2019/12/04,Financials,finance/,Fred Imbert,
"Jobs data, Tiffany earnings, Aramco IPO final pricing: 3 things to watch for Thursday",https://www.cnbc.com/finance/?page=1,2019/12/04,Financials,finance/,Yun Li,
Bull markets often end with a euphoric rally called a 'blow-off top.' We may have just had one,https://www.cnbc.com/finance/?page=1,2019/12/04,Financials,finance/,Fred Imbert,"['The Dow was up 10.5% over the course of just 74 trading days from mid-August to late November.', 'That kind of rally is similar to the ones that ended previous bull markets, data from Ned Davis Research shows.', 'The Dow has posted a median gain of 13.4% over a median time frame of 61 days in blow-off tops dating to 1901, according to the data.']"
"Job growth is slowing in the trade war, but that may not be clear in Friday's payroll data",https://www.cnbc.com/finance/?page=1,2019/12/04,Financials,finance/,Patti Domm,"['Job growth looks to be in a slower trajectory, and the trade war has clearly taken its toll, economists say.', ""The ADP payroll report showing only 67,000 private-sector jobs were added in November raises worries that the government's data on Friday may not be as strong as expected."", 'The impact of returning workers from the GM strike may muddy the November report, but in a positive way.']"
"Stocks making the biggest moves midday: Expedia, Salesforce, Workday, Alphabet & more",https://www.cnbc.com/finance/?page=1,2019/12/04,Financials,finance/,Yun Li,
"Your first trade for Wednesday, Nov. 4",https://www.cnbc.com/finance/?page=1,2019/12/04,Financials,finance/,,
Start-up Robinhood tops 10 million accounts even as industry follows in free-trading footsteps,https://www.cnbc.com/finance/?page=1,2019/12/04,Financials,finance/,Maggie Fitzgerald,"['Silicon Valley start-up Robinhood has more than 10 million accounts, the company said Wednesday.', 'Robinhood has grown rapidly from its one million subscribers in 2016 and six million users in October of 2018.', 'Robinhood landed a $7.6 billion valuation in July after its latest funding round.']"
"Trump won't ruin Christmas for Wall Street with China tariffs, investor Peter Boockvar predicts",https://www.cnbc.com/finance/?page=1,2019/12/04,Financials,finance/,Stephanie Landsman,
